Mod:Item:MetaData, Localized Name
mw:graphitechunk, Graphite Chunk
mw:tinore, Tin Ore
mw:tiningot, Tin Ingot
mw:sulfurore, Sulfur Ore
mw:sulfurdust, Sulfur Dust
mw:steeldust, Steel Dust
mw:steelingot, Steel Ingot
mw:gunmetalingot, Gunmetal Ingot
mw:gunmetalplate, Gunmetal Plate
mw:gunmetalcomposite, Gunmetal Composite
mw:carboncomposite, Carbon Composite
mw:carbonfiber, Carbon Fiber
mw:syntheticpolymercomposite, Synthetic Polymer Composite
mw:syntheticplastic, Synthetic Plastic
mw:plasticplate, Plastic Plate
mw:santa_helmet, Santa Beret
mw:santa_chest, Santa Coat
mw:santa_boots, Santa Boots
mw:nazisanta_helmet, Third Reich Santa Hat
mw:nazisanta_chest, Third Reich Santa Coat
mw:nazisanta_boots, Third Reich Santa Boots
mw:spec_ops_helmet, Spec-Ops Helmet
mw:spec_ops_chest, Spec-Ops Torso
mw:spec_ops_boots, Spec-Ops Boots
mw:hecu_helmet, H.E.C.U. Helmet
mw:hecu_chest, H.E.C.U. Torso Fatigues
mw:hecu_boots, H.E.C.U. Boots
mw:juggernaut_helmet, Juggernaut Helmet
mw:juggernaut_chest, Juggernaut Chestpiece
mw:juggernaut_boots, Juggernaut Boots
mw:merc_helmet, Blackhawk Merc. Helmet
mw:merc_chest, Blackhawk Merc. Torso
mw:merc_boots, Blackhawk Merc. Boots
mw:stars_chest, S.T.A.R.S. Torso Fatigues
mw:stars_boots, S.T.A.R.S. Boots
mw:marine_helmet, Marine Helmet
mw:marine_chest, Marine Chestplate
mw:marine_boots, Marine Boots
mw:ncr_helmet, NCR helmet
mw:ncr_chest, NCR Fatigues
mw:ncr_boots, NCR Boots
mw:t60_helmet, T-60 Helmet
mw:t60_chest, T-60 ChestRig 
mw:t60_boots, T-60 Boots
mw:doom_helmet, item.doom_helmet.name
mw:doom_chest, item.doom_chest.name
mw:doom_boots, item.doom_boots.name
mw:spetznaz_helmet, Spetsnaz Helmet
mw:spetznaz_chest, Spetsnaz Chestplate
mw:spetznaz_boots, Spetsnaz Boots
mw:swat_helmet, Swat Helmet
mw:swat_chest, Swat Chestplate
mw:swat_boots, Swat Boots
mw:tactical_helmet, Tactical Nightvision Goggles
mw:m40gasmask_helmet, M40 Gas Mask
mw:umbrella_helmet, Umbrella Corp. Helmet
mw:umbrella_chest, Umbrella Corp. Chestpiece
mw:umbrella_boots, Umbrella Corp. Boots
mw:astronaut_helmet, item.Astronaut_helmet.name
mw:astronaut_chest, item.Astronaut_chest.name
mw:astronaut_boots, item.Astronaut_boots.name
mw:scar_helmet, SCAR Combat EVA Helmet
mw:scar_chest, SCAR Combat EVA Rig
mw:scar_boots, SCAR Combat EVA Boots
mw:kcpd_chest, KCPD vest
mw:kcpd_boots, KCPD boots
mw:mkvi_main_helmet, Spartan MkVI Helmet (Green)
mw:mkvi_main_chest, Spartan MkVI Chestpiece (Green)
mw:mkvi_main_boots, Spartan MkVI Boots (Green)
mw:mkvidefault_helmet, Spartan MkVI Helmet
mw:mkvidefault_chest, Spartan MkVI Chestpiece
mw:mkvidefault_boots, Spartan MkVI Boots
mw:mkviblue_helmet, Spartan MkVI Helmet (Blue)
mw:mkviblue_chest, Spartan MkVI Chestpiece (Blue)
mw:mkviblue_boots, Spartan MkVI Boots (Blue)
mw:mkvired_helmet, Spartan MkVI Helmet (Red)
mw:mkvired_chest, Spartan MkVI Chestpiece (Red)
mw:mkvired_boots, Spartan MkVI Boots (Red)
mw:mkv_default_helmet, Spartan MkV Helmet
mw:mkv_default_chest, Spartan MkV Chestpiece
mw:mkv_default_boots, Spartan MkV Boots
mw:mkv_green_helmet, Spartan MkV Helmet (Green)
mw:mkv_green_chest, Spartan MkV Chestpiece (Green)
mw:mkv_green_boots, Spartan MkV Boots (Green)
mw:mkv_blue_helmet, Spartan MkV Helmet (Blue)
mw:mkv_blue_chest, Spartan MkV Chestpiece (Blue)
mw:mkv_blue_boots, Spartan MkV Boots (Blue)
mw:mkv_red_helmet, Spartan MkV Helmet (Red)
mw:mkv_red_chest, Spartan MkV Chestpiece (Red)
mw:mkv_red_boots, Spartan MkV Boots (Red)
mw:mkv_default_odst_helmet, ODST Integ. MkV Helmet
mw:mkv_default_odst_chest, ODST Integ. MkV Chestpiece
mw:mkv_default_odst_boots, ODST Integ. MkV Boots
mw:mkv_green_odst_helmet, ODST Integ. MkV Helmet (Green)
mw:mkv_green_odst_chest, ODST Integ. MkV Chestpiece (Green)
mw:mkv_green_odst_boots, ODST Integ. MkV Boots (Green)
mw:mkv_blue_odst_helmet, ODST Integ. MkV Helmet (Blue)
mw:mkv_blue_odst_chest, ODST Integ. MkV Chestpiece (Blue)
mw:mkv_blue_odst_boots, ODST Integ. MkV Boots (Blue)
mw:mkv_red_odst_helmet, ODST Integ. MkV Helmet (Red)
mw:mkv_red_odst_chest, ODST Integ. MkV Chestpiece (Red)
mw:mkv_red_odst_boots, ODST Integ. MkV Boots (Red)
mw:fabdefensemount, FAB Defense Mount
mw:p90swordfish, P90 Swordfish Conversion Kit
mw:p90defaultkit, P90 Default Kit
mw:p90terminator, P90 Terminator Conversion Kit
mw:scarhandguard, Scar Handguard
mw:krissvectorhandguard, item.mw_KrissVectorHandguard.name
mw:krissvectorswordfish, item.mw_KrissVectorSwordfish.name
mw:krissvector556handguard, item.mw_KrissVector556Handguard.name
mw:acrhandguard, ACR Handguard
mw:m60handguard, M60 Handguard
mw:m60e4guard, M60E4 Handguard
mw:m249handguard, M249 Handguard
mw:stonerhandguard, Stoner A1 Handguard
mw:auga1, AUG A1 Conversion Kit
mw:auga2handguard, AUG A2 Handguard
mw:auga3handguard, AUG A3 Handguard
mw:ef88handguard, EF-88 Handguard
mw:augdefaultkit, AUG Default Kit
mw:augparaconversion, AUG PARA Conversion Kit
mw:auga3extguard, AUG A3 Extended Guard
mw:scarstock, Scar Stock
mw:scarhstock, Scar H Stock
mw:vectorstock, item.mw_VectorStock.name
mw:acrstock, ACR Stock
mw:m1014stock, M1014 Stock
mw:m4benellistock, M4Benelli Stock
mw:spas12stock, Spas12 Stock
mw:m249stock, M249 Stock
mw:utgtrirailhandguard, UTG Tri Rail Handguard
mw:mimp5mhandguard, MI MP5 Handguard
mw:mimp5trrail, MI MP5 TR Rail
mw:mimp5mrail, MI MP5 M Rail
mw:shotgunrail, Shotgun Rail
mw:kar98krail, Kar98K Rail
mw:m60rail, M60 Rail
mw:railriser, item.mw_RailRiser.name
mw:m1911slide, item.mw_M1911Slide.name
mw:m1911body, item.mw_M1911Body.name
mw:m191144magslide, item.mw_M191144MagSlide.name
mw:m191144magbody, item.mw_M191144MagBody.name
mw:m9a1slide, item.mw_M9A1Slide.name
mw:m9a1body, item.mw_M9A1Body.name
mw:samuraiedgeslide, item.mw_SamuraiEdgeSlide.name
mw:samuraiedgebody, item.mw_SamuraiEdgeBody.name
mw:samuraiedgeawbody, item.mw_SamuraiEdgeAWBody.name
mw:samuraiedgealbertext, item.mw_SamuraiEdgeAlbertExt.name
mw:deserteagleslide, item.mw_DesertEagleSlide.name
mw:deserteaglebody, item.mw_DesertEagleBody.name
mw:deserteaglelongbody, item.mw_DesertEagleLongBody.name
mw:mp5a5handguard, MP5A5 Handguard
mw:mp5sdhandguard, MP5SD Handguard
mw:mp5hoguegrip, MP5 Hogue Grip
mw:glockhoguegrip, Glock Hogue Grip
mw:glockhoguegriptan, Glock Hogue Grip (Tan)
mw:mp5a3stock, MP5A3 Stock
mw:mp5a4stock, MP5A4 Stock
mw:lvoavhandguard, LVOAV Handguard
mw:m38handguard, M38 Handguard
mw:mk18handguard, Mk18 Handguard
mw:m4magpulhandguard, M4 Magpul Handguard
mw:m4magpulhandguardtan, M4 Magpul Handguard (Tan)
mw:m4receiver, M4 Receiver
mw:vltorreceiver, VLTOR Receiver
mw:ar57receiver, AR-57 Receiver
mw:placeholder, item.mw_Placeholder.name
mw:p90placeholder, item.mw_P90Placeholder.name
mw:pistolplaceholder, item.mw_PistolPlaceholder.name
mw:gripplaceholder, item.mw_GripPlaceholder.name
mw:laserplaceholder, item.mw_LaserPlaceholder.name
mw:m4handguard, M4 Handguard
mw:ar57handguard, AR-57 Handguard
mw:ntw20guard, NTW-20 Handguard
mw:m16handguard, M16 Handguard
mw:m4carbinehandguard, M4 Carbine Handguard
mw:heraarmsgrip, Hera Arms Grip
mw:m4grip, M4 Grip
mw:m4griptan, M4 Grip (Tan)
mw:m4gripgray, M4 Grip (Gray)
mw:ak47grip, AK-47 Grip
mw:ak101grip, AK-101 Grip
mw:akergogrip, AK Ergo Grip
mw:ak47stock, AK-47 Stock
mw:rpkstock, RPK Stock
mw:ak101stock, AK-101 Stock
mw:collapsablemoestock, Collapsable MOE Stock
mw:magpulctrstock, Magpul CTR Stock
mw:magpulctrstocktan, Magpul CTR Stock (Tan)
mw:milspecstock, Mil-Spec Stock
mw:milspecstocktan, Mil-Spec Stock (Tan)
mw:heraarmsstock, Hera Arms Stock
mw:hk416stock, HK416 Stock
mw:m16stock, M16 Stock
mw:hk416stocktan, HK416 Stock (Tan)
mw:m16stocktan, M16 Stock (Tan)
mw:ak47handleguard, AK-47 Handguard
mw:ak101handguard, AK-101 Handguard
mw:akmagpulhandleguard, AK Magpul Handguard
mw:akmagpulhandleguardtan, AK Magpul Handguard (Tan)
mw:mlokhandguard, MLOK Handguard
mw:mlokextendedhandguard, MLOK Extended Handguard
mw:ak15handleguard, AK-15 Handguard
mw:rpk16handguard, RPK-16 Handguard
mw:ak47dustcover, AK-47 Dust Cover
mw:ak101dustcover, AK-101 Dust Cover
mw:rpkdustcover, RPK-16 Dust Cover
mw:veprdustcover, Vepr Dust Cover
mw:ak15dustcover, AK-15 Dust Cover
mw:m4frontsight, AR Front Iron Sight
mw:m60frontsight, M60E4 Front Iron Sight
mw:m38frontsight, M38 Front Sight
mw:pso1, PSO-1 Scope
mw:okp7, OKP-7 Sight
mw:reflex, 15 MOA Reflex
mw:bijiareflex, Bijia Reflex Sight
mw:acog, Trigicon ACOG 
mw:specter, Elcan Specter SFOV4-A1 
mw:holographic2, EOTech EXPS3-0 (Tan)
mw:holographicalt, EOTech 512 A65 Holographic (Black)
mw:eotechhybrid2, EOTech Hybrid 2
mw:vortex_sight, Vortex UH-1 Holographic
mw:microt1, Micro-T1 Sight
mw:aimpointcompm5, Aimpoint Comp M5 Sight
mw:rmrsight, RMR Sight
mw:kobra, 8-18 Kobra Sight
mw:hpscope, JPU HP 3-9x40 Scope
mw:nightraiderscope, Night Raider Scope
mw:m2a1_sight, M2A1 Sight
mw:f2000scope, FNPM 1.6x
mw:m202scope, item.mw_M202scope.name
mw:augscope, AUG Scope
mw:ma5dcover, MA5D ICWS Dust Cover
mw:br55scope, BR-DEMROS Scope
mw:dmrscope, M392-DHO-4M Scope
mw:srs99scope, item.mw_SRS99Scope.name
mw:silencer556x45, 5.56x45mm NATO Silencer
mw:silencer545x39, 5.45x39mm Silencer
mw:silencer762x39, 7.62x39mm Silencer
mw:m32barrel, M32 Extended Barrel
mw:rpkbarrel, RPK Barrel
mw:akiron, AK Front Sight
mw:silencer9mm, 9(x18/19)mm Silencer
mw:silencermp5, MP5 Silencer
mw:silencer9x39mm, 9x39mm Silencer
mw:silencer45acp, .45 ACP Silencer
mw:silencer_eabh, EABH Silencer
mw:silencer762x54, 7.62x54mm Silencer
mw:silencer762x51, 7.62x51mm NATO Silencer
mw:silencer50bmg, .50 BMG Silencer
mw:silencer556x39, 5.45x39mm Silencer
mw:akmiron, Standard Iron Sight
mw:kar98ksight, Karabiner Iron Sight
mw:ak15ironsight, AK12 Iron Sight
mw:silencermp7, 4.6x30mm Silencer
mw:silencer357, .357 Silencer
mw:silencer57x38, 5.7x28mm Silencer
mw:silencer12gauge, 12 Gauge Silencer
mw:silencer300aacblackout, .300 AAC Blackout Silencer
mw:silencer65x39, 6.5x39mm NATO Silencer
mw:laser, UTG Tactical Laser
mw:laser2, LD19206-IR Tactical Laser
mw:danwessonlaser, D&W Laser
mw:m1928grip, M1928 Grip
mw:m1a1grip, M1A1 Grip
mw:grip2, Grip
mw:junogrip, Juno Grip
mw:glock18cstock, G18C DRS-HS
mw:vp70stock, item.mw_VP70Stock.name
mw:angledgrip, Angled Grip
mw:stubbygrip, Stubby Grip
mw:vgrip, Foregrip
mw:bipod, Bipod
mw:auggrip, AUG Grip
mw:fatmangrip, item.mw_FatmanGrip.name
mw:fatmanrack, item.mw_FatmanRack.name
mw:mininukeattachment, item.mw_MiniNukeAttachment.name
mw:chainb, item.mw_ChainB.name
mw:chaina, item.mw_ChainA.name
mw:chain, item.mw_Chain.name
mw:g11action, item.mw_G11Action.name
mw:augaction, item.mw_AUGAction.name
mw:m32main1b, item.mw_M32Main1B.name
mw:m134barrels, item.mw_M134Barrels.name
mw:browningauto5action, item.mw_BrowningAuto5Action.name
mw:m1garandaction, item.mw_M1GarandAction.name
mw:m1garandmag, item.mw_M1GarandMag.name
mw:m1897pump, item.mw_M1897pump.name
mw:super90pump, item.mw_Super90Pump.name
mw:p226slide, item.mw_P226Slide.name
mw:pythonchamber, item.mw_PythonChamber.name
mw:magnumchamber, item.mw_MagnumChamber.name
mw:rhinochamber, item.mw_RhinoChamber.name
mw:acraction, item.mw_ACRAction.name
mw:m1014action, item.mw_M1014Action.name
mw:supernovaaction, item.mw_SupernovaAction.name
mw:supernovapump, item.mw_SupernovaPump.name
mw:acrrails, item.mw_ACRRails.name
mw:rpg7rocket, item.mw_RPG7rocket.name
mw:m202rockets, item.mw_m202rockets.name
mw:ssg42barrels, item.mw_SSG42Barrels.name
mw:chiappatriplecrownbarrels, item.mw_ChiappaTripleCrownBarrels.name
mw:quadbarrelshotgunbarrels, item.mw_QuadBarrelShotgunBarrels.name
mw:glgrenade, item.mw_GLgrenade.name
mw:m79grenade, item.mw_M79grenade.name
mw:gl06cartridge, item.mw_GL06Cartridge.name
mw:m79cartridge, item.mw_M79Cartridge.name
mw:m32cartridge, item.mw_M32Cartridge.name
mw:m56mag, item.mw_M56Mag.name
mw:har27mag, item.mw_HAR27Mag.name
mw:har27belt, item.mw_HAR27Belt.name
mw:har27action, item.mw_HAR27Action.name
mw:m41amag, item.mw_M41AMag.name
mw:type51mag, item.mw_Type51Mag.name
mw:mp43edoublebarrel, item.mw_MP43Edoublebarrel.name
mw:hs12barrels, item.mw_HS12Barrels.name
mw:m1873action, item.mw_M1873action.name
mw:type51action, item.mw_Type51Action.name
mw:f2000action, item.mw_F2000Action.name
mw:ma37action, item.mw_MA37Action.name
mw:m20action, item.mw_M20Action.name
mw:m392action, item.mw_M392Action.name
mw:srs99action, item.mw_SRS99Action.name
mw:ma5daction, item.mw_MA5DAction.name
mw:br55action, item.mw_BR55Action.name
mw:g36caction, item.mw_G36CAction.name
mw:sl8action, item.mw_SL8Action.name
mw:m1a1thompsonaction, item.mw_M1A1ThompsonAction.name
mw:kedraction, item.mw_KedrAction.name
mw:m1928thompsonaction, item.mw_M1928ThompsonAction.name
mw:m1a1thompsonsight, item.mw_M1A1ThompsonSight.name
mw:m1928sight, item.mw_M1928Sight.name
mw:csa16pump, item.mw_CSA16pump.name
mw:m45pump, item.mw_M45pump.name
mw:r870part, item.mw_R870part.name
mw:m82action, item.mw_m82action.name
mw:mp40action, item.mw_MP40action.name
mw:mp5a5action, item.mw_MP5A5action.name
mw:mg42belt, item.mw_mg42belt.name
mw:mg42latch, item.mw_mg42latch.name
mw:mg34latch, item.mw_mg34latch.name
mw:m60belt, item.mw_M60Belt.name
mw:stonerhatch, item.mw_StonerHATCH.name
mw:stonerbelt, item.mw_StonerBELT.name
mw:johnsonlmgaction, item.mw_JohnsonLMGACTION.name
mw:johnsonrifleaction, item.mw_JohnsonRifleAction.name
mw:johnsonriflesight, item.mw_JohnsonRifleSight.name
mw:stripperclip, item.mw_StripperClip.name
mw:stripperclipbullets, item.mw_StripperClipBullets.name
mw:ntw20barrel, item.mw_NTW20Barrel.name
mw:ntw20action, item.mw_NTW20Action.name
mw:m60hatch, item.mw_M60Hatch.name
mw:m249belt, item.mw_M249Belt.name
mw:m249hatch, item.mw_M249Hatch.name
mw:m249action, item.mw_M249Action.name
mw:mg42action, item.mw_mg42action.name
mw:scaraction, item.mw_ScarAction.name
mw:mk14ebraction, item.mw_Mk14EBRaction.name
mw:mk14ebrsight, item.mw_Mk14EBRsight.name
mw:stg44action, item.mw_STG44action.name
mw:g43gewehraction, item.mw_G43GewehrAction.name
mw:springfieldrearsight, item.mw_SpringfieldRearSight.name
mw:springfieldaction, item.mw_SpringfieldAction.name
mw:kar98kaction, item.mw_Kar98Kaction.name
mw:glock18cslide, item.mw_Glock18Cslide.name
mw:esa23slide, item.mw_ESA23Slide.name
mw:vp70slide, item.mw_VP70slide.name
mw:frommerstopaction, item.mw_FrommerStopAction.name
mw:frommersight, item.mw_FrommerSight.name
mw:apsslide, item.mw_APSslide.name
mw:glock19slide, item.mw_Glock19slide.name
mw:m712action, item.mw_M712action.name
mw:m45a1slide, item.mw_M45A1slide.name
mw:browninghipowerslide, item.mw_BrowningHiPowerSlide.name
mw:mp443slide, item.mw_MP443Slide.name
mw:vssvintorezaction, item.mw_VSSVintorezAction.name
mw:akaction, item.mw_AKaction.name
mw:ak12action, item.mw_AK12action.name
mw:volkaction, item.mw_Volkaction.name
mw:type2mag, item.mw_Type2Mag.name
mw:saiga12action, item.mw_Saiga12action.name
mw:saiga12sights, item.mw_Saiga12sights.name
mw:as50action, item.mw_AS50Action.name
mw:sccycpx2slide, item.mw_SCCYCPX2Slide.name
mw:m6cslide, item.mw_M6Cslide.name
mw:m6csocomsight, item.mw_M6CSOCOMsight.name
mw:m6csocomslide, item.mw_M6CSOCOMSlide.name
mw:albert01r_slide, item.mw_albert01R_slide.name
mw:uziaction, item.mw_UziAction.name
mw:uzirelease, item.mw_UziRelease.name
mw:uziironsight, item.mw_UziIronSight.name
mw:p10slide, item.mw_P10Slide.name
mw:p10frontsight, item.mw_P10frontsight.name
mw:m40a6boltaction, item.mw_M40A6BoltAction.name
mw:sv98boltaction, item.mw_SV98BoltAction.name
mw:l96action, item.mw_L96Action.name
mw:lp115bolt2, item.mw_LP115Bolt2.name
mw:l115mag, item.mw_L115Mag.name
mw:sv98barrelpiece, item.mw_SV98barrelpiece.name
mw:m500a2pump, item.mw_M500A2pump.name
mw:r870pump, item.mw_r870pump.name
mw:hescspump, item.mw_HESCSpump.name
mw:ks23pump, item.mw_KS23pump.name
mw:kragaction1, item.mw_KragAction1.name
mw:kragaction2, item.mw_KragAction2.name
mw:kragchamber, item.mw_KragChamber.name
mw:shotgunshell, 12 Gauge Shotgun Shell
mw:shotgun4gauge, item.mw_Shotgun4Gauge.name
mw:bullet, item.mw_Bullet.name
mw:laserprojectile, item.mw_LaserProjectile.name
mw:ma37mag, item.mw_MA37Mag.name
mw:m20mag, item.mw_M20Mag.name
mw:m392mag, item.mw_M392Mag.name
mw:srs99mag, item.mw_SRS99Mag.name
mw:ma5dmag, item.mw_MA5DMag.name
mw:br55mag, item.mw_BR55Mag.name
mw:m8a7mag, item.mw_M8A7Mag.name
mw:g36cmag, item.mw_G36CMag.name
mw:nv4mag, item.mw_NV4Mag.name
mw:m6cmag, item.mw_M6CMag.name
mw:m6csocommag, item.mw_M6CSOCOMMag.name
mw:p10mag, item.mw_P10Mag.name
mw:volkmag, item.mw_VolkMag.name
mw:ar15action, item.mw_AR15Action.name
mw:nv4action, item.mw_NV4Action.name
mw:brenaction, item.mw_BrenAction.name
mw:type2part, item.mw_Type2Part.name
mw:type2sight, item.mw_Type2Sight.name
mw:m110action, item.mw_M110Action.name
mw:ar15iron, AR Carry Handle
mw:extra, item.mw_Extra.name
mw:m4rail, item.mw_M4Rail.name
mw:magnumrail, item.mw_MagnumRail.name
mw:g36crail, item.mw_G36CRail.name
mw:railalt, item.mw_RailAlt.name
mw:aacrail, item.mw_AACRail.name
mw:m110rail, item.mw_M110Rail.name
mw:akpart, item.mw_AKpart.name
mw:akmuzzle, item.mw_AKmuzzle.name
mw:crimsonblood, item.mw_CrimsonBlood.name
mw:chrome, item.mw_Chrome.name
mw:godwillsit, item.mw_GodWillsIt.name
mw:murasaki, item.mw_Murasaki.name
mw:evangelion, item.mw_Evangelion.name
mw:grenade40mm, 40mm Grenade
mw:mininuke, Mini-Nuke
mw:m202rocket, M202 Rocket
mw:rpg7_rocket, RPG-7 Rocket
mw:energycase, EC 3rd.D Casing
mw:plasmacapsule, Type-2 Plasma Capsule
mw:bfgammo, Argent Plasma Capsule
mw:bullet3006springfield, .30-06 Springfield Bullet
mw:bullet8x58, 8x58mm Bullet
mw:bullet792x33kurz, 7.92x33 Kurz Bullet
mw:bullet50bmg, .50 BMG Bullet
mw:bullet20x82mm, 20x82mm Bullet
mw:bullet308winchester, .308 Winchester Bullet
mw:bullet792x57, 7.92x57mm Bullet
mw:bullet762x54, 7.62x54mmR Bullet
mw:bullet762x51, 7.62x51mm Bullet
mw:shotgun12gauge, 12 Gauge Shotgun Shell
mw:shotgun4g, 4 Gauge Shotgun Shell
mw:bullet762x35, 7.62x35mm Bullet
mw:bullet765x21, 7.65x21mm Bullet
mw:bullet762x39, 7.62x39mm Bullet
mw:bullet556x45, 5.56x45mm NATO Bullet
mw:bullet545x39, item.mw_Bullet545x39.name
mw:bullet4440, 44-40 Winchester Bullet
mw:bullet45acp, .45 ACP Bullet
mw:bullet357, .357 Bullet
mw:bullet44, .44 Magnum Bullet
mw:bullet40sw, item.mw_Bullet40SW.name
mw:bullet50ae, .50 AE Bullet
mw:bullet500, .500 Magnum Bullet
mw:bullet380acp, .380 ACP Bullet
mw:bullet763x25, 7.63x25mm Bullet
mw:bullet9x39mm, 9x39mm Bullet
mw:bullet9x19mm, 9x19mm Bullet
mw:bullet46x30mm, item.mw_Bullet46x30mm.name
mw:bullet10mm, 10mm Bullet
mw:bullet473x33mm, item.mw_Bullet473x33mm.name
mw:fuelcell, (Chainsaw) Fuel Capsule
mw:brenmag, 30rnd 7.62x51mm Bren Magazine
mw:johnsonmag, 20rnd .30-06 Springfield Magazine
mw:vectormag, 25rnd .45 ACP Vector Magazine
mw:m4a1mag_2, 30rnd 5.56x45mm NATO STANAG Magazine
mw:aug9mmmag, 30rnd 9x19mm PARA Magazine
mw:m134mag, 1000rnd 7.62x51mm Magazine
mw:m60mag, 100rnd 7.62x51mm Magazine
mw:m249mag, 100rnd 5.56x45mm NATO Magazine
mw:stonermag, 100rnd 5.56x45mm Stoner Magazine
mw:honeybadgermag_2, 30rnd 7.62x35mm AAC Magazine
mw:m38mag_2, 30rnd 5.56x45mm NATO PMAG Magazine
mw:stanag50, 50rnd 5.56x45mm NATO STANAG Drum Magazine
mw:stanag60, 60rnd 5.56x45mm NATO STANAG Drum Magazine
mw:stanag100, 100rnd 5.56x45mm NATO STANAG Drum Magazine
mw:g36cmag_2, 30rnd 5.56x45mm NATO HK Magazine
mw:ak101mag_2, 30rnd 5.56x45mm Magazine
mw:ak60mag, 60rnd 5.56x45mm Magazine
mw:ak15mag_2, 30rnd 7.62x39mm PMAG Magazine
mw:ak12mag, 31rnd 5.45x39mm Magazine
mw:ak47pmagtan, 30rnd 7.62x39mm PMAG Magazine (Tan)
mw:ak47mag, 30rnd 7.62x39mm Magazine
mw:ak50mag, 50rnd 7.62x39mm Drum Magazine
mw:ak75mag, 75rnd 7.62x39mm Drum Magazine
mw:ak100mag, 100rnd 7.62x39mm Drum Magazine
mw:saigamag_2, 5rnd 12G Magazine
mw:m9mag_2, 15rnd 9x19mm Magazine
mw:samuraiedgemag, 15rnd .40 S&W Samurai Edge Magazine
mw:sccy_cpx_2_mag, item.mw_sccy_cpx_2_mag.name
mw:deserteaglemag, .50 AE 7rnd Magazine
mw:m9mag30, 30rnd 9x19mm Magazine
mw:m9drummag, 65rnd 9x19mm Drum Magazine
mw:mp443mag_2, 18rnd 9x19mm 443 Magazine
mw:m45a1mag_2, 7rnd .45 ACP Magazine
mw:m1911_44mag, 7rnd .44 1911 Magazine
mw:m45a1mag14, 14rnd .45 ACP Magazine
mw:hipowermag, 8rnd 7.65x21mm Magazine
mw:frommerstopmag, 8rnd .380 ACP Magazine
mw:apsmag_2, 20rnd 9x19mm Magazine (APS)
mw:glockmag13, 13rnd 9x19mm Magazine
mw:glock18cmag_2, 20rnd 9x19mm Magazine
mw:glockmag50, 50rnd 9x19mm Drum Magazine
mw:as50mag_2, 10rnd .50 BMG Magazine (AS50)
mw:m82mag_2, 10rnd .50 BMG NATO Magazine
mw:ntw20mag, 3rnd 20x82mm Magazine
mw:kbp9a91mag_2, 20rnd 9x39mm KBP Magazine
mw:kedrmag_2, 20rnd 9x19mm Magazine (Kedr)
mw:l96a1mag_2, 10rnd 7.62x54mm LAPUA Magazine
mw:m40a6mag_2, 7rnd .308 Winchester Magazine
mw:m110mag_2, 10rnd 7.62x51mm NATO Magazine
mw:m1928mag, 50rnd .45 ACP Magazine (M1928)
mw:m1a1mag, 30rnd .45 ACP Magazine (M1A1)
mw:m712mag_2, 20rnd 7.63x25mm Mauser Magazine
mw:mg42mag_2, 50rnd 7.92x57mm MG Magazine
mw:dp28mag, 47rnd 7.62x54mmR Magazine
mw:mk14ebrmag_2, 20rnd 7.62x51mm NATO EBR Magazine
mw:m14drum50, 50rnd 7.62x51mm NATO EBR DRUM Magazine
mw:mp40mag_2, 32rnd 9x19mm MP Magazine
mw:mp5a5mag, 25rnd 9x19mm HK Magazine
mw:hk50drum, 50rnd 9x19mm HK Drum Magazine
mw:mp7mag, 40rnd 4.6x30mm Magazine
mw:p90mag, 50rnd 5.7x28mm Magazine
mw:p90terminatormag, 65rnd 5.7x28mm Terminator Magazine
mw:g11mag, 50rnd 4.73x33mm Magazine
mw:scarhmag_2, 20rnd 7.62x51mm NATO CQC Magazine
mw:scar40mag, 40rnd 7.62x51mm NATO CQC Magazine
mw:scar60mag, 60rnd 7.62x51mm NATO CQC Drum Magazine
mw:vssvintorezmag_2, 20rnd 9x39mm Magazine
mw:stg44mag_2, 30rnd 7.92x33mm Magazine
mw:g43_gewehr_mag, 10rnd 7.92x57mm Gewehr Magazine
mw:sv98mag_2, 10rnd 7.62x54mmR Izhmash Magazine
mw:uzimag_2, 32rnd 9x19mm Magazine
mw:vp70mag_2, 18rnd 9x19mm Magazine
mw:m249, M249
mw:m40a6, M40A6
mw:m110_sass, M110 SASS
mw:m1014, M1014
mw:super90, Benelli Super-90
mw:supernova, Benelli Supernova
mw:m500a2, M500A2
mw:m38_dmr, M38 DMR
mw:m16a4, M16A4
mw:m4a1, M4A1
mw:colt_m45a1, Colt M45A1
mw:p226, SIG P226
mw:m9a1, M9A1 Beretta
mw:mp_443, MP-443 Grach
mw:ak15, AK-15
mw:kbp_9a91, KBP 9A-91 Carbine
mw:sr3_vikhr, SR-3 Vikhr
mw:pp91_kedr, PP-91 Kedr
mw:vss_vintorez, VSS Vintorez
mw:ks23, KS-23
mw:sv98, Izhmash SV-98
mw:mp5a5, HK MP5A5
mw:mp7, HK MP7
mw:p90, FN P90
mw:scar_l, Mk16 Scar-L
mw:scar_h_cqc, Mk17 CQC Scar-H
mw:vp70, VP-70
mw:glock_19, Glock-19
mw:sccy_cpx_2, CPX-2
mw:browning_hi_power, Browning Hi-Power
mw:m1911, Colt M1911
mw:python, Colt Python
mw:taurus_raging_hunter, Taurus Raging Hunter .44 Magnum
mw:chiappa_rhino, Chiappa Rhino
mw:sw_500_magnum, S&W .500 Magnum
mw:desert_eagle, IMI Desert Eagle
mw:mp40, MP-40
mw:m1928_thompson, M1928 Thompson
mw:kriss_vector, Kriss Vector
mw:ak101, AK-101
mw:ak103_bullpup, AK-103 Bullpup
mw:ak47, AK-47
